DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,GETHOM,GETMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,OCUHOM,OCUMUJ
Sacatepequez,San Bartolomé Milpas Altas,Mayo,2012.0,20.0,Enero,Guatemala,Mixco,39.0,30.0,No indigena,No indigena,Guatemala,Guatemala,Universitario,Diversificado,Especialistas en métodos pedagógicos,Maestros de enseñanza primaria
Huehuetenango,Huehuetenango,Diciembre,2012.0,5.0,Octubre,Huehuetenango,Huehuetenango,45.0,40.0,No indigena,No indigena,Guatemala,Guatemala,Universitario,Diversificado,Especialistas en métodos pedagógicos,Maestros de enseñanza primaria
Totonicapan,Totonicapán,Diciembre,2012.0,15.0,Octubre,Totonicapan,Totonicapán,53.0,50.0,No indigena,No indigena,Guatemala,Guatemala,Universitario,Diversificado,Especialistas en métodos pedagógicos,Maestros de enseñanza primaria
Alta Verapaz,Cobán,Diciembre,2012.0,16.0,Noviembre,Alta Verapaz,Cobán,35.0,33.0,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Profesionales de la enseñanza no clasificados bajo otros epígrafes,Maestros de enseñanza primaria
Baja Verapaz,Cubulco,Julio,2012.0,11.0,Junio,Baja Verapaz,Cubulco,30.0,29.0,Ignorado,No indigena,Guatemala,Guatemala,Ignorado,Ignorado,Profesionales de la enseñanza no clasificados bajo otros epígrafes,Maestros de enseñanza primaria
Peten,Flores,Agosto,2012.0,7.0,Mayo,Peten,Flores,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Profesionales de la enseñanza no clasificados bajo otros epígrafes,Maestros de enseñanza primaria
Guatemala,Guatemala,Octubre,2012.0,3.0,Octubre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Especialistas en políticas de administración,Maestros de enseñanza primaria
Guatemala,Guatemala,Octubre,2012.0,9.0,Agosto,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Periodistas,Maestros de enseñanza primaria
Guatemala,Guatemala,Marzo,2013.0,12.0,Octubre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Periodistas,Maestros de enseñanza primaria
Jutiapa,El Progreso,Marzo,2012.0,13.0,Febrero,Jutiapa,Jutiapa,31.0,27.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Diversificado,Técnicos en electrónica,Maestros de enseñanza primaria
Jutiapa,Moyuta,Mayo,2012.0,26.0,Abril,Jutiapa,Jutiapa,31.0,22.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Diversificado,Técnicos en ciencias físicas y en ingeniería no clasificados bajo otros epígrafes,Maestros de enseñanza primaria
Santa Rosa,Cuilapa,Octubre,2012.0,7.0,Agosto,Santa Rosa,Cuilapa,28.0,28.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Diversificado,Técnicos en ciencias físicas y en ingeniería no clasificados bajo otros epígrafes,Maestros de enseñanza primaria
Quetzaltenango,Cantel,Agosto,2012.0,21.0,Mayo,Quetzaltenango,Cantel,29.0,29.0,Indigena,Indigena,Guatemala,Guatemala,Universitario,Universitario,Técnicos en ciencias físicas y en ingeniería no clasificados bajo otros epígrafes,Maestros de enseñanza primaria
Suchitepequez,Patulul,Septiembre,2012.0,27.0,Agosto,Suchitepequez,Patulul,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Técnicos en ciencias físicas y en ingeniería no clasificados bajo otros epígrafes,Maestros de enseñanza primaria
Chiquimula,Concepción Las Minas,Mayo,2012.0,22.0,Marzo,Chiquimula,Chiquimula,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Técnicos agropecuarios,Maestros de enseñanza primaria
Suchitepequez,Mazatenango,Agosto,2012.0,21.0,Agosto,Suchitepequez,Mazatenango,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Técnicos agropecuarios,Maestros de enseñanza primaria
Chiquimula,Chiquimula,Mayo,2012.0,12.0,Marzo,Chiquimula,Chiquimula,34.0,35.0,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,"Profesionales de nivel medio de servicios estadísticos, matemáticos y afines",Maestros de enseñanza primaria
San Marcos,Ayutla,Febrero,2013.0,22.0,Octubre,Quetzaltenango,Coatepeque,24.0,32.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Diversificado,Declarantes o gestores de aduana,Maestros de enseñanza primaria
Retalhuleu,Retalhuleu,Agosto,2012.0,30.0,Mayo,Retalhuleu,Retalhuleu,27.0,31.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Universitario,Trabajadores y asistentes sociales de nivel medio,Maestros de enseñanza primaria
Alta Verapaz,Cobán,Abril,2012.0,9.0,Febrero,Alta Verapaz,Cobán,44.0,42.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Diversificado,Trabajadores y asistentes sociales de nivel medio,Maestros de enseñanza primaria
Izabal,Livingston,Septiembre,2012.0,20.0,Marzo,Izabal,Puerto Barrios,45.0,43.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Diversificado,Trabajadores y asistentes sociales de nivel medio,Maestros de enseñanza primaria
Huehuetenango,Todos Santos Cuchumatán,Abril,2012.0,16.0,Febrero,Huehuetenango,Huehuetenango,49.0,43.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Diversificado,Trabajadores y asistentes sociales de nivel medio,Maestros de enseñanza primaria
Guatemala,Guatemala,Enero,2013.0,4.0,Septiembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Trabajadores y asistentes sociales de nivel medio,Maestros de enseñanza primaria
Guatemala,Guatemala,Agosto,2012.0,19.0,Julio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Trabajadores y asistentes sociales de nivel medio,Maestros de enseñanza primaria
Guatemala,Guatemala,Octubre,2012.0,2.0,Mayo,Guatemala,Guatemala,23.0,24.0,Ignorado,Ignorado,Guatemala,Guatemala,Diversificado,Diversificado,Técnicos en redes y sistemas de computadores,Maestros de enseñanza primaria
Suchitepequez,Patulul,Febrero,2013.0,12.0,Octubre,Escuintla,Santa Lucía Cotzumalguapa,28.0,24.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Diversificado,Técnicos en redes y sistemas de computadores,Maestros de enseñanza primaria
Guatemala,Guatemala,Septiembre,2012.0,15.0,Abril,Escuintla,Escuintla,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Técnicos en redes y sistemas de computadores,Maestros de enseñanza primaria
Alta Verapaz,Cobán,Mayo,2012.0,13.0,Febrero,Alta Verapaz,Cobán,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Técnicos en redes y sistemas de computadores,Maestros de enseñanza primaria
Quetzaltenango,Quetzaltenango,Septiembre,2012.0,4.0,Mayo,Quetzaltenango,Quetzaltenango,52.0,47.0,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Operadores de máquinas de procesamiento de texto y mecanógrafos,Maestros de enseñanza primaria
Guatemala,Guatemala,Agosto,2012.0,15.0,Marzo,Guatemala,Amatitlán,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Operadores de máquinas de procesamiento de texto y mecanógrafos,Maestros de enseñanza primaria
Guatemala,Amatitlán,Julio,2012.0,27.0,Abril,Guatemala,Amatitlán,52.0,43.0,Ignorado,Ignorado,Guatemala,Guatemala,Ninguna,Ignorado,Empleados de contabilidad y cálculo de costos,Maestros de enseñanza primaria
Guatemala,Guatemala,Abril,2013.0,25.0,Octubre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguna,Ignorado,Empleados de contabilidad y cálculo de costos,Maestros de enseñanza primaria
Suchitepequez,Zunilito,Noviembre,2012.0,11.0,Septiembre,Suchitepequez,Mazatenango,27.0,24.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Diversificado,Empleados de contabilidad y cálculo de costos,Maestros de enseñanza primaria
Suchitepequez,Mazatenango,Octubre,2012.0,8.0,Agosto,Suchitepequez,Mazatenango,29.0,32.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Diversificado,Empleados de contabilidad y cálculo de costos,Maestros de enseñanza primaria
Huehuetenango,Huehuetenango,Enero,2013.0,15.0,Octubre,Huehuetenango,Huehuetenango,41.0,31.0,Ignorado,Ignorado,Guatemala,Guatemala,Diversificado,Ignorado,Empleados de contabilidad y cálculo de costos,Maestros de enseñanza primaria
Izabal,Puerto Barrios,Enero,2013.0,13.0,Noviembre,Izabal,Puerto Barrios,51.0,46.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Diversificado,Empleados de contabilidad y cálculo de costos,Maestros de enseñanza primaria
Quiche,Uspantán,Febrero,2013.0,29.0,Octubre,Quiche,Nebaj,33.0,25.0,Indigena,No indigena,Guatemala,Guatemala,Diversificado,Diversificado,Empleados de contabilidad y cálculo de costos,Maestros de enseñanza primaria
Guatemala,Guatemala,Agosto,2012.0,9.0,Julio,Guatemala,Guatemala,42.0,30.0,Ignorado,No indigena,Guatemala,Guatemala,Ignorado,Diversificado,Empleados de contabilidad y cálculo de costos,Maestros de enseñanza primaria
Escuintla,Escuintla,Abril,2013.0,3.0,Diciembre,Escuintla,Escuintla,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Empleados de contabilidad y cálculo de costos,Maestros de enseñanza primaria
Chiquimula,Jocotán,Febrero,2013.0,5.0,Octubre,Chiquimula,Chiquimula,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Empleados de contabilidad y cálculo de costos,Maestros de enseñanza primaria
Guatemala,Guatemala,Junio,2012.0,29.0,Marzo,Escuintla,Santa Lucía Cotzumalguapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Empleados de contabilidad y cálculo de costos,Maestros de enseñanza primaria
Peten,Poptún,Noviembre,2012.0,2.0,Octubre,Peten,Poptún,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Auxiliares de servicio de abordo,Maestros de enseñanza primaria
Guatemala,Mixco,Octubre,2012.0,16.0,Agosto,Guatemala,Guatemala,48.0,50.0,Ignorado,Ignorado,Guatemala,Guatemala,Ninguna,Ignorado,Comerciantes de tiendas,Maestros de enseñanza primaria
Guatemala,Guatemala,Enero,2013.0,18.0,Octubre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Comerciantes de tiendas,Maestros de enseñanza primaria
Guatemala,Guatemala,Junio,2012.0,25.0,Abril,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Comerciantes de tiendas,Maestros de enseñanza primaria
Guatemala,Guatemala,Julio,2012.0,21.0,Febrero,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Comerciantes de tiendas,Maestros de enseñanza primaria
El Progreso,El Jícaro,Mayo,2012.0,11.0,Abril,El Progreso,Guastatoya,Ignorado,36.0,Ignorado,No indigena,Guatemala,Guatemala,Ignorado,Diversificado,Comerciantes de tiendas,Maestros de enseñanza primaria
Retalhuleu,Retalhuleu,Mayo,2012.0,8.0,Mayo,Retalhuleu,Retalhuleu,39.0,34.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Diversificado,Bomberos,Maestros de enseñanza primaria
Totonicapan,Totonicapán,Abril,2012.0,3.0,Febrero,Totonicapan,Totonicapán,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguna,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Maestros de enseñanza primaria
Quiche,Chiché,Febrero,2012.0,26.0,Enero,Quiche,Santa Cruz del Quiché,43.0,33.0,Ignorado,Ignorado,Guatemala,Guatemala,Ninguna,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Maestros de enseñanza primaria
Huehuetenango,Nentón,Septiembre,2012.0,12.0,Abril,Huehuetenango,La Democracia,25.0,31.0,No indigena,No indigena,Guatemala,Guatemala,Primaria,Universitario,Agricultores y trabajadores calificados de cultivos extensivos,Maestros de enseñanza primaria
Alta Verapaz,Santa Cruz Verapaz,Septiembre,2012.0,18.0,Julio,Alta Verapaz,Cobán,38.0,36.0,Indigena,Indigena,Guatemala,Guatemala,Básico,Universitario,Agricultores y trabajadores calificados de cultivos extensivos,Maestros de enseñanza primaria
San Marcos,Tejutla,Abril,2013.0,22.0,Noviembre,Guatemala,Guatemala,27.0,36.0,No indigena,Ignorado,Guatemala,Guatemala,Diversificado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Maestros de enseñanza primaria
Jalapa,Jalapa,Febrero,2013.0,26.0,Diciembre,Jalapa,Jalapa,Ignorado,Ignorado,No indigena,No indigena,Guatemala,Guatemala,Ignorado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Maestros de enseñanza primaria
Jalapa,Jalapa,Junio,2012.0,24.0,Abril,Jalapa,Jalapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Maestros de enseñanza primaria
Peten,Santa Ana,Enero,2013.0,14.0,Noviembre,Peten,San Benito,Ignorado,30.0,Ignorado,No indigena,Guatemala,Guatemala,Ignorado,Diversificado,Agricultores y trabajadores calificados de cultivos extensivos,Maestros de enseñanza primaria
Quetzaltenango,La Esperanza,Diciembre,2012.0,6.0,Marzo,Quetzaltenango,Quetzaltenango,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Carpinteros de armar y de obra blanca,Maestros de enseñanza primaria
Guatemala,Guatemala,Noviembre,2012.0,14.0,Marzo,Guatemala,Guatemala,32.0,28.0,No indigena,No indigena,Guatemala,Guatemala,Primaria,Diversificado,Pintores y empapeladores,Maestros de enseñanza primaria
Quetzaltenango,Quetzaltenango,Abril,2013.0,4.0,Diciembre,Quetzaltenango,Quetzaltenango,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguna,Ignorado,Mecánicos y reparadores de vehículos de motor,Maestros de enseñanza primaria
Retalhuleu,Retalhuleu,Septiembre,2012.0,25.0,Julio,Retalhuleu,Retalhuleu,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Mecánicos y reparadores de vehículos de motor,Maestros de enseñanza primaria
Guatemala,Guatemala,Mayo,2012.0,29.0,Marzo,Guatemala,Guatemala,26.0,26.0,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Diversificado,Mecánicos y reparadores de vehículos de motor,Maestros de enseñanza primaria
Escuintla,Escuintla,Noviembre,2012.0,9.0,Marzo,Escuintla,Escuintla,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Electricistas de obras y afines,Maestros de enseñanza primaria
Quiche,Canillá,Mayo,2012.0,21.0,Marzo,Quiche,Santa Cruz del Quiché,39.0,39.0,No indigena,Ignorado,Guatemala,Guatemala,Básico,Diversificado,Operadores de telares y otras máquinas tejedoras,Maestros de enseñanza primaria
Suchitepequez,Río Bravo,Abril,2012.0,14.0,Marzo,Suchitepequez,Mazatenango,44.0,35.0,No indigena,No indigena,Guatemala,Guatemala,Primaria,Diversificado,"Conductores de automóviles, taxis y camionetas",Maestros de enseñanza primaria
Peten,San Benito,Febrero,2013.0,23.0,Noviembre,Peten,San Benito,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,"Conductores de automóviles, taxis y camionetas",Maestros de enseñanza primaria
Escuintla,Santa Lucía Cotzumalguapa,Noviembre,2012.0,24.0,Agosto,Alta Verapaz,Cobán,57.0,59.0,No indigena,No indigena,Guatemala,Guatemala,Básico,Diversificado,Conductores de camiones pesados,Maestros de enseñanza primaria
Alta Verapaz,Cobán,Diciembre,2012.0,24.0,Agosto,Alta Verapaz,Cobán,57.0,59.0,No indigena,No indigena,Guatemala,Guatemala,Básico,Diversificado,Conductores de camiones pesados,Maestros de enseñanza primaria
Suchitepequez,Río Bravo,Junio,2012.0,18.0,Abril,Suchitepequez,Mazatenango,31.0,38.0,No indigena,Ignorado,Guatemala,Guatemala,Primaria,Ignorado,Peones de explotaciones agrícolas,Maestros de enseñanza primaria
Chiquimula,Chiquimula,Enero,2013.0,6.0,Noviembre,Chiquimula,Chiquimula,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Peones de explotaciones agrícolas,Maestros de enseñanza primaria
Quetzaltenango,Zunil,Febrero,2013.0,19.0,Noviembre,Quetzaltenango,Quetzaltenango,32.0,42.0,Indigena,Indigena,Guatemala,Guatemala,Ignorado,Diversificado,Peones de la construcción de edificios,Maestros de enseñanza primaria
San Marcos,San Lorenzo,Junio,2012.0,22.0,Mayo,San Marcos,San Lorenzo,Ignorado,30.0,Ignorado,Indigena,Guatemala,Guatemala,Ninguna,Diversificado,Estudiante,Maestros de enseñanza primaria
Quetzaltenango,Cabricán,Junio,2012.0,10.0,Abril,Retalhuleu,Retalhuleu,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguna,Ignorado,Estudiante,Maestros de enseñanza primaria
Jutiapa,Asunción Mita,Septiembre,2012.0,3.0,Septiembre,Jutiapa,Jutiapa,Ignorado,25.0,Ignorado,No indigena,Guatemala,Guatemala,Ninguna,Ignorado,Estudiante,Maestros de enseñanza primaria
San Marcos,Ayutla,Abril,2013.0,10.0,Octubre,Quetzaltenango,Coatepeque,Ignorado,24.0,Ignorado,No indigena,Guatemala,Guatemala,Ninguna,Diversificado,Estudiante,Maestros de enseñanza primaria
Santa Rosa,Cuilapa,Febrero,2012.0,6.0,Febrero,Santa Rosa,Cuilapa,26.0,26.0,No indigena,No indigena,Guatemala,Guatemala,Ninguna,Diversificado,Estudiante,Maestros de enseñanza primaria
Escuintla,Tiquisate,Junio,2012.0,6.0,Junio,Suchitepequez,Mazatenango,28.0,27.0,Ignorado,Ignorado,Guatemala,Guatemala,Ninguna,Ignorado,Estudiante,Maestros de enseñanza primaria
Jutiapa,Jutiapa,Octubre,2012.0,31.0,Agosto,Jutiapa,Jutiapa,31.0,24.0,Ignorado,No indigena,Guatemala,Guatemala,Ninguna,Diversificado,Estudiante,Maestros de enseñanza primaria
Suchitepequez,Río Bravo,Agosto,2012.0,9.0,Julio,Guatemala,Guatemala,38.0,36.0,No indigena,No indigena,Guatemala,Guatemala,Ninguna,Diversificado,Estudiante,Maestros de enseñanza primaria
Suchitepequez,Mazatenango,Marzo,2012.0,26.0,Enero,Suchitepequez,Mazatenango,Ignorado,Ignorado,No indigena,No indigena,Guatemala,Guatemala,Primaria,Diversificado,Estudiante,Maestros de enseñanza primaria
Escuintla,San José,Noviembre,2012.0,7.0,Agosto,Escuintla,Escuintla,20.0,28.0,No indigena,Ignorado,Guatemala,Guatemala,Diversificado,Ignorado,Estudiante,Maestros de enseñanza primaria
Suchitepequez,Mazatenango,Enero,2013.0,18.0,Octubre,Suchitepequez,Mazatenango,23.0,26.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Diversificado,Estudiante,Maestros de enseñanza primaria
Alta Verapaz,Cobán,Septiembre,2012.0,27.0,Julio,Alta Verapaz,Cobán,26.0,23.0,No indigena,Indigena,Guatemala,Guatemala,Diversificado,Diversificado,Estudiante,Maestros de enseñanza primaria
Alta Verapaz,Cobán,Enero,2013.0,6.0,Agosto,Alta Verapaz,Cobán,28.0,25.0,Indigena,No indigena,Guatemala,Guatemala,Diversificado,Diversificado,Estudiante,Maestros de enseñanza primaria
Quiche,Joyabaj,Julio,2012.0,10.0,Mayo,Quiche,Santa Cruz del Quiché,30.0,27.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Diversificado,Estudiante,Maestros de enseñanza primaria
San Marcos,Malacatán,Febrero,2012.0,16.0,Enero,San Marcos,Malacatán,34.0,31.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Diversificado,Estudiante,Maestros de enseñanza primaria
Guatemala,Guatemala,Octubre,2012.0,17.0,Agosto,Guatemala,Guatemala,36.0,37.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Universitario,Estudiante,Maestros de enseñanza primaria
Huehuetenango,Jacaltenango,Marzo,2013.0,5.0,Junio,Huehuetenango,Huehuetenango,25.0,23.0,Indigena,Ignorado,Guatemala,Guatemala,Diversificado,Diversificado,Estudiante,Maestros de enseñanza primaria
Suchitepequez,Mazatenango,Septiembre,2012.0,2.0,Mayo,Suchitepequez,Mazatenango,25.0,22.0,No indigena,No indigena,Guatemala,Guatemala,Universitario,Universitario,Estudiante,Maestros de enseñanza primaria
Huehuetenango,Chiantla,Mayo,2012.0,11.0,Abril,Huehuetenango,Huehuetenango,33.0,24.0,Ignorado,Ignorado,Guatemala,Guatemala,Universitario,Diversificado,Estudiante,Maestros de enseñanza primaria
Alta Verapaz,Cobán,Junio,2012.0,15.0,Febrero,Alta Verapaz,Cobán,23.0,28.0,Indigena,No indigena,Guatemala,Guatemala,Ignorado,Diversificado,Estudiante,Maestros de enseñanza primaria
Jutiapa,Santa Catarina Mita,Mayo,2012.0,20.0,Abril,Jutiapa,Jutiapa,25.0,23.0,No indigena,No indigena,Guatemala,Guatemala,Ignorado,Diversificado,Estudiante,Maestros de enseñanza primaria
Quetzaltenango,Quetzaltenango,Noviembre,2012.0,12.0,Enero,Quetzaltenango,Quetzaltenango,32.0,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Estudiante,Maestros de enseñanza primaria
